Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
498,José Salinas,es ESP,DF,Espanyol,25-202,2000,2.7,0,0,0,,0,0,,,0,0,Matches
499,Oihan Sancet,es ESP,MF,Athletic Club,25-360,2000,18.1,3,43,14,32.6,2.38,0.78,0.02,0.07,2,2,Matches
500,Álex Sánchez,es ESP,FW,Elche,20-046,2006,0.1,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
501,Alexis Sánchez,cl CHI,"FW,MF",Sevilla,37-122,1988,12,3,21,7,33.3,1.75,0.58,0.1,0.29,1,1,Matches
502,Antonio Sánchez,es ESP,"MF,DF",Mallorca,29-109,1997,10.9,0,6,3,50,0.55,0.27,0,0,0,0,Matches
503,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,22-248,2003,20.3,0,13,1,7.7,0.64,0.05,0,0,0,0,Matches
504,Borja Sánchez Laborde,es ESP,MF,Oviedo,30-053,1996,0.2,0,0,0,,0,0,,,0,0,Matches
505,Manu Sánchez,es ESP,DF,Levante,25-239,2000,26.1,1,11,3,27.3,0.42,0.11,0.09,0.33,0,0,Matches
506,Selton Sánchez,es ESP,MF,Athletic Club,19-059,2007,2.2,0,4,1,25,1.84,0.46,0,0,0,0,Matches
507,Álex Sancris,es ESP,"MF,FW",Getafe,29-092,1997,7,0,11,4,36.4,1.57,0.57,0,0,0,0,Matches
508,Buba Sangaré,es ESP,"MF,DF",Elche,18-257,2007,2.9,0,2,0,0,0.69,0,0,,0,0,Matches
509,Maroan Sannadi,ma MAR,FW,Athletic Club,25-078,2001,3.1,1,8,4,50,2.58,1.29,0.13,0.25,0,0,Matches
510,Baptiste Santamaria,fr FRA,MF,Valencia,31-042,1995,8.4,1,6,2,33.3,0.72,0.24,0.17,0.5,0,0,Matches
511,Yago Santiago,es ESP,MF,Elche,23-005,2003,3.1,0,2,0,0,0.64,0,0,,0,0,Matches
512,Martin Satriano,uy URU,"FW,MF",Getafe,25-059,2001,11.8,4,22,11,50,1.86,0.93,0.18,0.36,0,0,Matches
513,Taufik Seidu,es ESP,MF,Atlético Madrid,18-090,2008,0.3,0,0,0,,0,0,,,0,0,Matches
514,Nicolás Serrano,es ESP,MF,Athletic Club,23-046,2003,3.8,1,15,3,20,3.92,0.78,0.07,0.33,0,0,Matches
515,Kwasi Sibo,gh GHA,MF,Oviedo,27-300,1998,16.2,0,8,2,25,0.49,0.12,0,0,0,0,Matches
516,André Silva,pt POR,FW,Elche,30-165,1995,15.2,7,40,19,47.5,2.63,1.25,0.15,0.32,1,1,Matches
517,Giuliano Simeone,ar ARG,MF,Atlético Madrid,23-123,2002,21.2,4,34,13,38.2,1.6,0.61,0.12,0.31,0,0,Matches
518,Unai Simón,es ESP,GK,Athletic Club,28-313,1997,31,0,0,0,,0,0,,,0,0,Matches
519,Antonio Sivera,es ESP,GK,Alavés,29-252,1996,31,0,0,0,,0,0,,,0,0,Matches
520,Alex Sola,es ESP,"DF,FW",Getafe,26-315,1999,0.1,0,0,0,,0,0,,,0,0,Matches
521,Carlos Soler,es ESP,MF,Real Sociedad,29-108,1997,19.8,4,27,17,63,1.36,0.86,0.15,0.24,0,0,Matches
522,Jhon Solis,co COL,MF,Girona,21-199,2004,4.2,0,3,2,66.7,0.71,0.47,0,0,0,0,Matches
523,Manor Solomon,il ISR,MF,Villarreal,26-270,1999,1.7,1,2,1,50,1.2,0.6,0.5,1,0,0,Matches
524,Hugo Solozabal,es ESP,MF,Getafe,23-072,2003,0.1,0,0,0,,0,0,,,0,0,Matches
525,David Soria,es ESP,GK,Getafe,33-016,1993,31,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
526,Hugo Sotelo,es ESP,MF,Celta Vigo,22-122,2003,13.1,0,2,1,50,0.15,0.08,0,0,0,0,Matches
527,Djibril Sow,ch SUI,MF,Sevilla,29-073,1997,19.9,5,17,8,47.1,0.85,0.4,0.29,0.63,0,0,Matches
528,Carl Starfelt,se SWE,DF,Celta Vigo,30-323,1995,16.6,0,4,1,25,0.24,0.06,0,0,0,0,Matches
529,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,21-234,2004,4.3,5,10,7,70,2.31,1.62,0.5,0.71,0,0,Matches
530,Cristhian Stuani,uy URU,FW,Girona,39-190,1986,2.6,3,8,6,75,3.1,2.33,0,0,3,4,Matches
531,Denis Suárez,es ESP,MF,Alavés,32-104,1994,11.9,1,6,3,50,0.51,0.25,0.17,0.33,0,0,Matches
532,Gabriel Suazo,cl CHI,"DF,MF",Sevilla,28-254,1997,17.6,0,4,2,50,0.23,0.11,0,0,0,0,Matches
533,Luka Sučić,hr CRO,"MF,FW",Real Sociedad,23-224,2002,8.1,3,19,6,31.6,2.35,0.74,0.16,0.5,0,0,Matches
534,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,22-078,2004,10.9,4,20,11,55,1.83,1.01,0.2,0.36,0,0,Matches
535,Wojciech Szczęsny,pl POL,GK,Barcelona,36-002,1990,6,0,0,0,,0,0,,,0,0,Matches
536,Alexander Sørloth,no NOR,FW,Atlético Madrid,30-136,1995,18.7,10,54,28,51.9,2.89,1.5,0.19,0.36,0,0,Matches
537,César Tárrega,es ESP,DF,Valencia,24-053,2002,21.9,0,8,1,12.5,0.37,0.05,0,0,0,0,Matches
538,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,26-083,2000,25,1,36,6,16.7,1.44,0.24,0.03,0.17,0,0,Matches
539,Nahuel Tenaglia,ar ARG,DF,Alavés,30-058,1996,29,1,16,4,25,0.55,0.14,0.06,0.25,0,0,Matches
540,Arnau Tenas,es ESP,GK,Villarreal,24-325,2001,3,0,0,0,,0,0,,,0,0,Matches
541,Marc-André ter Stegen,de GER,GK,Girona,33-355,1992,2,0,0,0,,0,0,,,0,0,Matches
542,Ramón Terrats,es ESP,MF,Espanyol,25-184,2000,8.3,1,9,3,33.3,1.08,0.36,0.11,0.33,0,0,Matches
543,Jeremy Toljan,de GER,DF,Levante,31-255,1994,28.9,1,9,1,11.1,0.31,0.03,0.11,1,0,0,Matches
544,Pablo Torre,es ESP,"MF,FW",Mallorca,23-017,2003,12.4,3,15,8,53.3,1.21,0.64,0.2,0.38,0,0,Matches
545,Jofre Torrents,es ESP,DF,Barcelona,19-082,2007,0.6,0,0,0,,0,0,,,0,0,Matches
546,Ferrán Torres,es ESP,FW,Barcelona,26-050,2000,18.6,14,62,33,53.2,3.33,1.77,0.23,0.42,0,0,Matches
547,Lucas Torró,es ESP,MF,Osasuna,31-275,1994,21.3,0,19,5,26.3,0.89,0.23,0,0,0,0,Matches
548,Óscar Trejo,ar ARG,"FW,MF",Rayo Vallecano,37-359,1988,0.9,0,1,1,100,1.14,1.14,0,0,0,0,Matches
549,Viktor Tsyhankov,ua UKR,MF,Girona,28-156,1997,22.3,5,34,15,44.1,1.52,0.67,0.15,0.33,0,0,Matches
550,Kareem Tunde,es ESP,MF,Levante,20-244,2005,10.4,0,15,2,13.3,1.45,0.19,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
551,Beñat Turrientes,es ESP,MF,Real Sociedad,24-079,2002,11.4,0,18,6,33.3,1.58,0.53,0,0,0,0,Matches
552,Christantus Uche,ng NGA,FW,Getafe,22-336,2003,3,1,6,1,16.7,2,0.33,0.17,1,0,0,Matches
