Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
826,Jonas Urbig,de GER,GK,de Bayern Munich,22-255,2003,3,0,0,0,,0,0,,,0,0,Matches
827,Can Uzun,tr TUR,"MF,FW",de Eintracht Frankfurt,20-160,2005,2.6,2,6,4,66.7,2.27,1.51,0.33,0.5,0,0,Matches
828,Georgios Vagiannidis,gr GRE,DF,pt Sporting CP,24-220,2001,1.9,0,0,0,,0,0,,,0,0,Matches
829,Federico Valverde,uy URU,"MF,DF",es Real Madrid,27-272,1998,12.9,3,13,5,38.5,1.01,0.39,0.23,0.6,0,0,Matches
830,Virgil van Dijk,nl NED,DF,eng Liverpool,34-286,1991,12,2,17,4,23.5,1.42,0.33,0.12,0.5,0,0,Matches
831,Hans Vanaken,be BEL,MF,be Club Brugge,33-239,1992,10,2,4,2,50,0.4,0.2,0.5,1,0,0,Matches
832,Vanderson,br BRA,"DF,MF",fr Monaco,24-303,2001,6.5,0,5,3,60,0.77,0.46,0,0,0,0,Matches
833,Robinio Vaz,fr FRA,FW,fr Marseille,19-062,2007,0.4,0,1,1,100,2.73,2.73,0,0,0,0,Matches
834,Lucas Vázquez,es ESP,MF,de Leverkusen,34-293,1991,4,0,2,1,50,0.5,0.25,0,0,0,0,Matches
835,Joey Veerman,nl NED,MF,nl PSV,27-152,1998,8,0,7,2,28.6,0.87,0.25,0,0,0,0,Matches
836,Renato Veiga,pt POR,DF,es Villarreal,22-265,2003,8,1,6,2,33.3,0.75,0.25,0.17,0.5,0,0,Matches
837,Micky van de Ven,nl NED,DF,eng Tottenham Hotspur,25-001,2001,8,2,6,3,50,0.75,0.37,0.33,0.67,0,0,Matches
838,Antonio Vergara,it ITA,MF,it Napoli,23-094,2003,1.8,1,6,3,50,3.31,1.66,0.17,0.33,0,0,Matches
839,Romeo Vermant,be BEL,FW,be Club Brugge,22-086,2004,3.7,2,10,3,30,2.74,0.82,0.2,0.67,0,0,Matches
840,Arthur Vermeeren,be BEL,MF,fr Marseille,21-072,2005,3.7,0,1,0,0,0.27,0,0,,0,0,Matches
841,Mikel Vesga,es ESP,MF,es Athletic Club,32-334,1993,2.8,0,0,0,,0,0,,,0,0,Matches
842,Hugo Vetlesen,no NOR,"MF,FW",be Club Brugge,26-050,2000,2.1,0,5,3,60,2.41,1.44,0,0,0,0,Matches
843,Guglielmo Vicario,it ITA,GK,eng Tottenham Hotspur,29-195,1996,9.8,0,0,0,,0,0,,,0,0,Matches
844,João Virgínia,pt POR,GK,pt Sporting CP,26-192,1999,1,0,0,0,,0,0,,,0,0,Matches
845,Vitinha,pt POR,MF,fr Paris Saint-Germain,26-066,2000,14,6,38,14,36.8,2.72,1,0.13,0.36,1,2,Matches
